id,documentId,en,ru,fontSize,correctAnswer,answerTime,createdAt,updatedAt,publishedAt,locale
193,"cezc50oosv27wwekskhux8kx","멍청하다-","глупый",16,true,30,"2025-03-24T11:35:18.848Z","2025-03-24T11:36:24.328Z","",""
196,"b6cptqu6owdsaq8rvylfpdkp","떠나다(떠나요)-","отправляться",16,true,30,"2025-03-24T11:39:41.285Z","2025-03-24T11:39:55.202Z","",""
200,"huwlkr15pa97oax034evun6f","어렵다(어려워요)-","трудно",16,true,30,"2025-03-24T11:43:39.158Z","2025-03-24T11:44:38.578Z","",""
202,"jv5i81ewkst29bxaybgtcwyh","쉽다(쉬워요)-","легко",16,true,30,"2025-03-24T11:48:06.278Z","2025-03-24T11:48:13.071Z","",""
204,"fnchi5l0icpg1zxplla39hbq","도와주다(도와줘요)-","помочь",16,true,30,"2025-03-24T12:01:27.210Z","2025-03-24T12:01:35.552Z","",""
206,"eh8u0u5m2y90dwc4pozklron","빵","хлеб",16,true,30,"2025-03-24T12:07:28.418Z","2025-03-24T12:07:35.910Z","",""
208,"i963v0c34w3jxvfdryncu4b4","꽃-","цветок",16,true,30,"2025-03-24T12:10:51.484Z","2025-03-24T12:10:59.098Z","",""
210,"afne9sniqjqenwu0hsge78z1","사과-","яблоко",16,true,30,"2025-03-24T12:15:09.103Z","2025-03-24T12:15:16.487Z","",""
212,"y4srgvnvgymsfoo6qpnnm7hr","기다리다(기다려요)-","ждать",16,true,30,"2025-03-24T12:15:51.091Z","2025-03-24T12:15:58.314Z","",""
214,"lupogwcgmngkcjl89qu0i1oj","아무거나-","что нибудь",16,true,30,"2025-03-24T12:16:39.893Z","2025-03-24T12:16:54.517Z","",""
217,"yrgs9rimtlkschga9xko7zh9","필요하다(필요한)-","нужный need",16,true,30,"2025-03-24T12:17:25.879Z","2025-03-24T12:17:32.455Z","",""
219,"mjq7mccowq64zcx5ujohpeqp","얼마나","сколько",16,true,30,"2025-03-24T12:18:41.293Z","2025-03-24T12:18:46.591Z","",""
221,"mynq5x624svjg4f56m5nxr1m","신다(신어요)","обувать, носить про foot",16,true,30,"2025-03-24T12:20:55.618Z","2025-03-24T12:21:31.188Z","",""
223,"ok7nsxilv03bs1zw2mvz5623","유명하다(유명한, 유명해요)","известный",16,true,30,"2025-03-24T12:24:57.382Z","2025-03-24T12:25:03.720Z","",""
225,"jsl3dmmeldqfx9ft1bty95dd","마시다(마셔요)","пить",16,true,30,"2025-03-24T12:26:04.510Z","2025-03-24T12:26:13.464Z","",""
227,"j8ing60xa6a688ekkgug3x9y","가장 중요한 것-","самая важная вещь",16,true,30,"2025-03-24T12:27:50.303Z","2025-03-24T12:28:04.243Z","",""
